campaign_id,total_unique_donors
H2OH01186,35
H0NY20111,1190
H2ME01131,221
H2MD03184,47
H2GA10257,75
H2NV03195,114
H2TX08133,184
H2NJ11137,353
H0CO06119,824
H8ID02064,275
H2OH16069,95
H2CA26133,110
H0NC03149,154
S2CO00225,271
H0IL15186,53
S8CA00515,109
H2CA52154,127
H2AZ09183,89
H2MA09221,49
H8OH16124,436
S0VA00104,241
S0IL00543,393
H4AZ06045,979
H0NC11258,234
H2TX20096,39
H0UT01171,106
H8TX05144,127
H2FL11117,218
H0AL01089,210
H2NY23145,61
H2NY04160,25
H0WA06081,32
H2FL12099,1
H2MT00112,77
H0NJ07279,1340
H0NY14296,483
H0FL19171,145
H0NM01197,91
H2GA10182,113
H2NJ12127,185
H2OH15145,142
H2NY25082,86
H2GA06198,150
H2NJ04199,17
H0NY17208,74
H2GA06156,54
H0FL19247,26
H0NY27108,219
H2FL13279,274
H2NY03139,112
H0WA02197,110
S2UT00344,354
S2AL00152,290
H0MN02142,118
H2AL05169,73
H2OH15129,231
H2MO07135,126
H2NC04168,84
H0NV04023,119
H0MN07109,30
H2NJ03258,109
H2MA02085,75
H2PA06163,71
H2GA10174,7
H0IL02127,6
H8OH05036,1577
H0TX04185,29
H2OH15137,43
H0IN05268,180
H8ID01124,176
H8TX16166,225
S2CO00159,13
H2KY03214,30
H2NJ11160,252
H0IA04137,91
H2GA02155,13
H2NY19127,658
H2AZ02352,170
H0MA04259,96
H0NY27116,95
H2PA07096,81
H8TN09114,22
H2TX34113,460
H2TX08273,150
H6TX19099,59
H2AZ09191,40
H0IN05334,28
H2GA06123,606
H2MD06310,6
H0VA03124,240
H0FL19213,53
H2SC01085,59
H8TX02141,110
H0VA10194,106
H0NC06241,126
H0NY10112,564
H0CA45129,242
H4OK06056,51
H8OR05206,85
H0UT01155,138
S2OH00329,170
H0FL03209,177
H8PA13125,150
H2CA03116,11
H2WA04173,149
H8PA15260,170
H2MO04199,86
H2TX32083,97
H2MA09239,148
H2NJ11194,70
H2MA04115,36
H0GA13131,20
S2AZ00380,96
H2OR05183,97
H0OR05088,14
H2KY05151,99
H0MD08203,91
H0AZ04535,138
H2IL14094,107
H2IA03093,98
H2VA07204,69
H0TX18292,97
S8NJ00541,29
H2OR05209,241
H8NJ05136,23
H2PA04226,134
H0FL20120,201
H0TX04201,27
H8TX06233,424
H2TX03290,115
H2IN01172,143
S2IA00131,100
H2NY23137,115
H2MI11232,122
H0IN05250,158
H0AL02194,32
H0PA17115,93
H2CO07162,76
H8GA08092,8
H2CA33196,14
H2SC01077,79
H2AL05128,177
H0NV04064,16
H2VA10158,108
H0CT05200,76
H2KY02141,27
H2VA07196,89
H2NJ11145,109
H2WY01040,78
H4AL06098,59
H2FL04146,30
H0IN07256,80
H0OH03111,79
H4GA02078,116
H0TX17161,90
H2MI08162,37
H0TN03254,110
H2TX32158,23
H2NC13185,39
H0CO06101,22
H0CA48172,32
H0IL04081,38
H0FL21136,9
S2AL00137,53
H2AK01083,105
H2TX32133,29
S2OH00477,208
H0CA24157,34
H2OR06033,50
H0NV03124,35
H2CT05230,22
H0NV04072,87
H2AZ03152,8
H0IL01194,79
H2CO03260,98
H2SC07298,72
H2MD08183,26
H2VA10141,66
H0CA06170,31
H0IL11110,74
H0MN05277,8
S0KS00240,14
