campaign_id,total_unique_donors
H0MN04171,80
H0MO06222,138
H0TX24258,81
H2MN07105,31
S0TX00381,76
H0MD05191,243
H6FL13197,293
H0FL24197,388
H6FL13189,350
H8VA01303,684
H4PA18131,121
H0NY15178,400
H0MI12150,4
H0OR01160,237
H0IL13066,323
H0MA06106,207
H0MI05139,3
H0GA05251,333
H0CA07129,88
H0NY14338,233
H2TX22167,301
H0IN08213,317
H8CA01109,381
S4TX00599,17
H0FL08224,713
H0NY17224,535
H8NY06048,278
H6KY03124,37
H2NY13096,323
H0CA29131,20
H0NM03078,162
H0IN01168,281
H0CA53073,413
H0TX19068,252
H6VA04061,502
H0TX18250,208
S2FL00623,115
H8NV03036,604
H2VA11198,132
H8CO07052,176
H0MO03203,212
H8FL18028,319
H8FL11130,344
H0KY04125,413
H0TX18284,45
H2FL03163,89
H2CA08214,842
H0RI02295,174
S0KS00307,390
H0ND01042,332
H0FL17068,120
H8NV04018,83
H2IL02172,504
H0MO04227,55
H0WA05133,316
H0OH16121,15
H0MA06098,427
H0AZ05177,15
H0IL12100,488
H0PA12199,317
S2IA00149,606
H2MD01238,456
H8CA12171,71
H0IL09098,16
H8NY20056,210
H6WA09025,376
H8CA05183,186
H0NJ09184,140
H0CA10149,62
H0TX27087,71
H0OR02176,40
H0NY15186,77
H8FL27011,101
S0NC00285,66
H0TN01043,252
H2CT01205,349
H0TX36021,278
H0WI01104,434
H0TX31105,182
H0CA32101,446
H0TN09129,300
H2GU00025,118
H0NY16168,162
H0UT01213,274
H0CA10073,650
H0TN05317,121
H0NY15293,309
H2NY01117,459
H2CA30291,228
H0NC09278,30
H0MA06114,246
H0UT01148,548
H2IL01208,221
H0PA02091,313
H0MA09068,59
H8NY25113,617
H8MO03198,20
H2IL08146,319
H2TX05238,21
H0MO06180,94
H0GA11044,249
H0TN05333,336
H8GA10197,167
H8FL20032,231
H2CT01197,32
H2MA09072,103
H2TX23082,398
H2CA25218,339
H0OR05112,70
S0CO00492,191
H0CA28174,335
H0PA01333,188
H0NC02133,59
H2IL05191,32
H8MD06143,131
H2OH14098,322
H2MD05155,146
H0OH15149,717
H0LA05070,162
P00009936,2
H0GA07190,70
H0NY14304,387
H0TX02098,150
S2IN00133,204
H2NY01109,6
H0MN05228,296
H0NJ10208,80
S0TN00268,268
H0OH15131,70
H0GA04122,223
H0NC03396,53
H6NJ13191,43
H8IN04140,267
H8IN09123,122
H0CA10289,297
H2GA14028,609
S0KY00313,17
H2GA14077,335
H4TX10028,143
H0GA12059,322
H0VA05137,103
H4TX18054,267
H0TX34026,47
H0MI04108,291
H0NY17190,337
S0WY00194,175
H0NJ04128,140
H2IN03186,91
H0CA12129,74
S8MS00220,38
H0CO05145,67
H0WI06210,58
H0FL06111,192
H2MI14111,646
H8OH11141,168
H0FL20138,66
H2GA11214,209
H0AL01105,411
S8WI00026,380
H0PA13114,296
H0CA25238,73
H0IL03091,67
H0MS01118,260
H2CA22165,177
H2NM01193,21
H0TX12253,6
H8AL04086,119
H2FL10200,147
H0CA20130,245
H0TX18243,84
H0IL05351,60
S2PA00455,202
H0TX08145,95
H0OK03093,147
S0GA00500,225
H0GA11028,49
H4NY27076,327
H0NY26068,13
S6LA00342,63
S2WI00383,104
H8CO03234,26
H2TX21128,73
H8OR02187,16
H0TX13152,258
H8NC10097,423
H2NY22188,38
H2TN03235,8
S2PA00448,155
H0CA52091,2
H0KS01214,216
H0NC05169,147
H2WA09131,80
H0TN01050,61
H2LA03089,43
H0TX31147,380
H0KY01071,46
H2TX28081,135
H0NJ02163,76
S0MT00124,276
H2OH03174,50
H0OK05155,189
H2GA01249,37
S2ND00107,30
H2NY03147,24
H6NY19243,3
H2FL13246,235
H0NY12183,213
S2FL00466,68
H0NM03151,112
H0IN09161,38
H2TN03201,62
S2UT00294,143
H0NY15269,169
H0MD03212,14
S0ID00156,13
H0AR04087,134
H8CA34068,49
H0NC04188,118
S0CO00617,8
H0TN04278,106
H0SC03150,55
H0NY13108,184
H6FL05193,54
H8MD01177,357
H0CA52067,69
H4CA20082,18
H2OH16044,166
H0NY17273,699
H2TX18173,15
H2TX03266,170
S0ID00149,230
H0OK04166,23
H0NC04170,215
H0NJ08145,66
H2CA25200,116
H0DC00058,70
S6MD03177,120
S0GA00377,68
H0IL15194,425
H0NY15285,73
H4IL07037,60
H0CA15213,133
H0TN06364,26
H8FL03020,95
H0MO01066,132
H0WA03237,253
H8TX11100,111
H0TX03096,29
H0NC03123,35
H2MO03142,59
S8WA00251,13
H0GA11051,29
H8KY02080,111
H2FL17098,23
H6CA05195,141
