total_raised,total_contributions,date,committee,committee_name
135068.21,2724,2020-10,C00734731,FRIENDS FOR KATHY BARNETTE
156474.96,4336,2020-10,C00675348,CINDY HYDE-SMITH FOR US SENATE
118046.61,3402,2020-10,C00730531,TEXANS FOR RONNY JACKSON
20680.0,35,2020-10,C00654723,MEUSER FOR CONGRESS
57622.729999999814,2784,2020-10,C00737767,VICTORIA SPARTZ FOR CONGRESS
21672.699999999997,246,2020-10,C00582635,JO RAE PERKINS FOR US SENATE
31450.159999999996,1085,2020-10,C00607556,LIZ CHENEY FOR WYOMING
84368.84999999998,841,2020-10,C00699660,BISHOP FOR CONGRESS
94311.12999999843,2955,2020-11,C00705236,JOE COLLINS FOR CONGRESS
4089.0,18,2020-11,C00711572,BECCHI FOR CONGRESS
49856.73,1781,2020-11,C00671859,MARIA ELVIRA SALAZAR FOR CONGRESS
228261.7100000001,7454,2020-11,C00416594,JIM JORDAN FOR CONGRESS
7372.080000000005,323,2020-11,C00657833,GUY FOR CONGRESS
6425.0,7,2020-11,C00504019,RICK W. ALLEN FOR CONGRESS
4542.49,40,2020-11,C00412759,VERN BUCHANAN FOR CONGRESS
9612.5,20,2020-11,C00677286,"STEIL FOR WISCONSIN, INC."
84121.59999999948,2592,2020-11,C00660795,DAN CRENSHAW FOR CONGRESS
3800.0,4,2020-11,C00412890,ADRIAN SMITH FOR CONGRESS
30236.9799999999,1185,2020-11,C00390476,CATHY MCMORRIS RODGERS FOR CONGRESS
13028.039999999985,637,2020-11,C00607556,LIZ CHENEY FOR WYOMING
410416.62999999995,10943,2020-11,C00394957,SCALISE FOR CONGRESS
10446.879999999997,475,2020-11,C00368522,JOE WILSON FOR CONGRESS
17772.099999999984,1699,2020-11,C00200584,UPTON FOR ALL OF US
16337.659999999823,1113,2020-11,C00392688,"MCCAUL FOR CONGRESS, INC"
69238.61999999853,3423,2020-11,C00632257,MAST FOR CONGRESS
9481.220000000014,340,2020-11,C00610212,MIKE GALLAGHER FOR WISCONSIN
571201.6200000003,15594,2020-11,C00370056,DEVIN NUNES CAMPAIGN COMMITTEE
4964.259999999954,583,2020-11,C00663914,DEBBIE LESKO FOR CONGRESS
3747.9900000000007,46,2020-11,C00461806,PAUL GOSAR FOR CONGRESS
395271.15000001126,13950,2020-11,C00547893,ELISE FOR CONGRESS
4605.8499999999985,18,2020-11,C00629949,ALEX MOONEY FOR CONGRESS
751300.1500000022,23565,2020-11,C00546788,JONI FOR IOWA
62930.289999999884,1600,2020-11,C00701672,"TUBERVILLE FOR SENATE, INC."
