linenumber,fec_committee_id,transaction_id,,,entity_type,organization_name,last_name,first_name,middle_name,prefix,suffix,street_1,street_2,city,state,zip_code,election_code,,date,amount,,purpose,memo_code,memo_text,cycle
"SB21B","C00762591","SB21B.4277","","","ORG","AMERICAN EXPRESS","","","","","","200 VESEY ST","","NEW YORK","NY","10285","","","20211203","138420.59","","CREDIT CARD PAYMENT: SEE ITEMIZATIONS IF REQUIRED","","","","","","","","","","","","","","","","","","","","",""
"SB21B","C00762591","SB21B.4278","","","ORG","AMERICAN EXPRESS","","","","","","200 VESEY ST","","NEW YORK","NY","10285","","","20211216","96051.72","","CREDIT CARD PAYMENT: SEE ITEMIZATIONS IF REQUIRED","","","","","","","","","","","","","","","","","","","","",""
"SB21B","C00762591","SB21B.4279","","","ORG","AMERICAN EXPRESS","","","","","","200 VESEY ST","","NEW YORK","NY","10285","","","20211216","82446.23","","CREDIT CARD PAYMENT: SEE ITEMIZATIONS IF REQUIRED","","","","","","","","","","","","","","","","","","","","",""
"SB21B","C00762591","SB21B.4280","","","ORG","AMERICAN EXPRESS","","","","","","200 VESEY ST","","NEW YORK","NY","10285","","","20211229","46453.78","","CREDIT CARD PAYMENT: SEE ITEMIZATIONS IF REQUIRED","","","","","","","","","","","","","","","","","","","","",""
"SB21B","C00762591","SB21B.5234","","","ORG","AMTRAK","","","","","","60 MASSACHUSETTS AVE NE","","WASHINGTON","DC","20002","","","20210701","177.00","","AMEX PMT [SB21B.4266]: TRAVEL: RAIL","","","","","","","","","","","","","","","","","","","X","",""
"SB21B","C00762591","SB21B.5235","","","ORG","AMTRAK","","","","","","60 MASSACHUSETTS AVE NE","","WASHINGTON","DC","20002","","","20210707","180.00","","AMEX PMT [SB21B.4266]: TRAVEL: RAIL","","","","","","","","","","","","","","","","","","","X","",""
"SB21B","C00762591","SB21B.5237","","","ORG","APPLE","","","","","","1 APPLE PARK WAY","","CUPERTINO","CA","95014","","","20210927","1549.36","","REIMBURSEMENT [SB21B.5064]: OFFICE EQUIPMENT","","","","","","","","","","","","","","","","","","","X","",""
"SB21B","C00762591","SB21B.4286","","","ORG","ARTISAN 2, INC.","","","","","","4313 WHEELER AVENUE","","ALEXANDRIA","VA","22304","","","20211222","22248.80","","PRINTING SERVICES","","","","","","","","","","","","","","","","","","","","",""
"SB21B","C00762591","SB21B.5239","","","ORG","ARTISAN 2 INC.","","","","","","3305 COON HOLLOW DR","","JOHNS ISLAND","SC","29455","","","20211207","1801.72","","AMEX PMT [SB21B.4279]: PRINTING & DESIGN SERVICES","","","","","","","","","","","","","","","","","","","X","",""
"SB21B","C00762591","SB21B.5241","","","ORG","ARTSIFUL","","","","","","17927 SYBRANDY AVENUE","","CERRITOS","CA","90703","","","20210913","2000.00","","AMEX PMT [SB21B.4268]: OFFICE FURNITURE","","","","","","","","","","","","","","","","","","","X","",""
"SB21B","C00762591","SB21B.5243","","","ORG","ASCAP LICENSING","","","","","","250 WEST 57TH ST","","NEW YORK","NY","10107","","","20210624","250.00","","AMEX PMT [SB21B.4265]: MUSIC LICENSING","","","","","","","","","","","","","","","","","","","X","",""
